https_status,Count,DNS Status,Top 3 IPs,Average TTL
(Status Code: 200),2440,"[('0.0', 2429)]","[('blogspot.l.googleusercontent.com.', 1541), ('142.250.180.161', 1536), ('142.250.180.129', 1319)]",282
SSL Errors,2107,"[('0.0', 2098)]","[('85.38.29.199', 1929), ('blogspot.l.googleusercontent.com.', 128), ('142.250.180.161', 127)]",32
Connection Errors,1944,"[('3.0', 1745), ('0.0', 132), ('2.0', 58)]","[('a.ns.tk. joost\\.zuurbier.dot.tk. 1736050726 10800 3600 604800 5', 247), ('a0.info.afilias-nst.info. hostmaster.donuts.email. 1736078184 7200 900 1209600 3600', 36), ('a0.info.afilias-nst.info. hostmaster.donuts.email. 1736077551 7200 900 1209600 3600', 33)]",374
Timeout Errors,1822,"[('0.0', 1819)]","[('blogspot.l.googleusercontent.com.', 734), ('142.250.180.161', 731), ('142.250.180.129', 500)]",222
(Status Code: 404),1330,"[('0.0', 1325)]","[('blogspot.l.googleusercontent.com.', 867), ('142.250.180.161', 865), ('142.250.180.129', 757)]",254
(Status Code: 403),121,"[('0.0', 121)]","[('188.114.97.7', 21), ('188.114.96.7', 21), ('104.21.96.1', 11)]",380
reset by peer')),77,"[('0.0', 77)]","[('74.114.154.22', 28), ('74.114.154.18', 28), ('blogspot.l.googleusercontent.com.', 11)]",364
Dismatch,71,"[('0.0', 70)]","[('66.254.100.196', 9), ('54.153.56.183', 2), ('212.53.215.52', 2)]",487
unrecognized name (_ssl.c:1129)'))),47,"[('0.0', 47)]","[('13.248.169.48', 43), ('76.223.54.146', 43), ('89.31.143.90', 2)]",533
certificate,46,"[('0.0', 46)]","[('34.149.141.190', 7), ('34.95.33.229', 7), ('51.81.90.52', 2)]",395
(Status Code: 410),40,"[('0.0', 40)]","[('185.128.239.110', 4), ('185.128.239.111', 4), ('75.2.18.233', 3)]",497
Certificate expired,18,"[('0.0', 18)]","[('192.64.151.235', 2), ('142.11.222.108', 1), ('121.42.124.137', 1)]",499
(Status Code: 436),17,"[('0.0', 17)]","[('64.190.63.222', 14), ('91.195.240.12', 1), ('91.195.240.135', 1)]",354
connection without response')),16,"[('0.0', 16)]","[('69.16.230.165', 9), ('72.52.179.174', 2), ('72.52.178.23', 1)]",511
version number (_ssl.c:1129)'))),11,"[('0.0', 11)]","[('204.16.169.54', 4), ('212.29.175.17', 2), ('99.192.132.167', 1)]",343
of protocol (_ssl.c:1129)'))),9,"[('0.0', 9)]","[('34.107.184.1', 1), ('35.190.1.20', 1), ('138.68.66.48', 1)]",429
issuer certificate (_ssl.c:1129)'))),6,"[('0.0', 6)]","[('37.27.55.11', 1), ('37.27.55.12', 1), ('194.0.255.22', 1)]",544
handshake failure,6,"[('0.0', 6)]","[('193.141.3.77', 1), ('13.226.175.31', 1), ('13.226.175.64', 1)]",147
(Status Code: 500),5,"[('0.0', 5)]","[('188.114.96.7', 3), ('188.114.97.7', 3), ('cdn.fffyy.com.', 1)]",397
(Status Code: 406),5,"[('0.0', 5)]","[('162.241.244.25', 1), ('162.241.62.76', 1), ('108.179.232.165', 1)]",383
(Status Code: 520),5,"[('0.0', 5)]","[('104.21.96.1', 2), ('104.21.48.1', 2), ('104.21.32.1', 2)]",336
(Status Code: 400),3,"[('0.0', 3)]","[('188.114.97.7', 1), ('188.114.96.7', 1), ('185.180.220.112', 1)]",323
internal error (_ssl.c:1129)'))),3,"[('0.0', 3)]","[('76.223.32.228', 2), ('13.248.151.185', 2), ('74.113.97.35', 1)]",335
(Status Code: 401),2,"[('0.0', 2)]","[('argon.molinero.dev.', 1), ('138.201.92.216', 1), ('198.185.159.145', 1)]",437
(Status Code: 451),2,"[('0.0', 2)]","[('172.67.186.146', 1), ('104.21.84.51', 1), ('172.67.134.144', 1)]",346
(Status Code: 503),2,"[('0.0', 2)]","[('91.184.48.60', 1), ('104.21.77.100', 1), ('172.67.206.176', 1)]",455
(Status Code: 502),2,"[('0.0', 2)]","[('52.210.20.76', 2)]",544
"OSError(22, 'Invalid argument'))",2,"[('0.0', 2)]","[('74.114.154.18', 2), ('74.114.154.22', 2)]",350
(Status Code: 521),1,"[('0.0', 1)]","[('104.21.92.204', 1), ('172.67.197.180', 1)]",377
(Status Code: 204),1,"[('0.0', 1)]","[('104.21.23.12', 1), ('172.67.208.70', 1)]",344
Exceeded 30 redirects.,1,"[('0.0', 1)]","[('188.114.96.7', 1), ('188.114.97.7', 1)]",348
(Status Code: 429),1,"[('0.0', 1)]","[('172.67.196.126', 1), ('104.21.12.221', 1)]",345
"BrokenPipeError(32, 'Broken pipe'))",1,"[('0.0', 1)]","[('74.114.154.18', 1), ('74.114.154.22', 1)]",352
(Status Code: 555),1,"[('0.0', 1)]","[('185.20.205.62', 1)]",564
